country,school,postal_code
Malaysia,POWIIS,.
Philippines,"Bangladesh International School, English section",21452
Saudi Arabia,Global International School,23213
Malaysia,Kolej Tuanku Ja'afar,71700
China,the middle school attach to Guangxi university,530000
Maldives,Center for higher secondary education,20159
Qatar,the international school of choueifat,0
Indonesia,North Jakarta International School,14240
Malaysia,Fairview,11900
Oman,The Sultan's school,don't know
Singapore,Global Indian International School,459663
Kuwait,English School of Fahaheel,53700
China,Ningbo Binhai InternationalCooperation School ,315800
Malaysia,SMJK Jit Sin,14000
United Arab Emirates,Al Shola Private School,20768
Sudan,General Science English School,12217
Maldives,Centre for Higher Secondary Education (CHSE) ,20159
Egypt,Portsaid british school,11568
Malaysia,Seri Omega Private and International School,81400
Malaysia,St. Joseph's Private School,93400
Malaysia,Taylor's International School Kuala Lumpur,-
Singapore,Nan Chiau High School,545079
Singapore,Nan Chiau High School,545079
Singapore,Nan Chiau High School ,545079
Malaysia,SMK USJ 13,47630
Malaysia,Wesley Methodist Ipoh,30100
Malaysia,SMK Labuan,87000
Malaysia,Learning Oasis,53300
Malaysia,Sekolah Menengah All Saints,88805
Malaysia,SMK BINTULU,97000
Iraq,ALMTAMEZEN-HARTHEA,non
Malaysia,Seri Omega Private and International School,81400
Malaysia,Sri Kuala Lumpur,47500
Malaysia,Taylor's International School Kuala Lumpur,I don't know
Malaysia,St joseph's private school,93250
Malaysia,St. Joseph's Private School,93350
Malaysia,Oakrich International School,75250
Malaysia,Catholic High School,75200
Malaysia,Catholic High School,75200
Malaysia,Regent International School,41200
Malaysia,SMK Bandar Puchong Jaya (B),47100
Malaysia,Axcel International School,47100
Malaysia,Sri Kuala Lumpur International School,47500
Malaysia,SMK Bukit Tinggi,41200
Malaysia,Tsun Jin High School,55200
Malaysia,Taylor's College,.
Malaysia,Oxburgh Academy,56000
Malaysia,SMK GAJAH BERANG,75200
Malaysia,SMK Kepong,52100
Malaysia,Taylors international School Puchong,47120
Malaysia,Chong Hwa Independent High School,52000
Brunei Darussalam,Chung Hua Middle School,KA1131
Malaysia,Kuen Cheng High School,50460
Malaysia,SMJK Yu Hua ,43000
Malaysia,SMJK Yu Hua,43000
Malaysia,Han Chiang High School,11600
,,
Malaysia,SMK Seri Bintang Selatan,56100
Malaysia,Kuen Cheng High School,-
Malaysia,Chung Hua High School,70200
Malaysia,Right Bridge Puchong,47100
Malaysia,Seri Omega,-
Malaysia,Sri Sempurna International School,56100
Malaysia,SUNWAY COLLEGE,47500
Japan,International Budo University,299-5295
Malaysia,Sri Kuala Lumpur,i dont know
Malaysia,Nobel International School,47800
Malaysia,Sri Kuala Lumpur Secondary School ,47500
Malaysia,Sekolah Islam Adni,68000
Japan,???????????????????????????????????????,169-0075
Malaysia,SMJK Chung Hwa,41200
Hong Kong (S.A.R.),homeschooled,0
Malaysia,High School Bukit Mertajam,14000
Malaysia,High School Bukit Mertajam,14000
Malaysia,Chung Ling Butterworth High School,13400
Singapore,Evergreen Secondary School,738489
Singapore,Evergreen Secondary School,738489
Malaysia,SMK Tengku Mahmud 2,-
Brunei Darussalam,"Chung Hua Middle School, Kuala Belait",[they changed it so I can't remember anymore]
Malaysia,SMK Damansara Jaya,47400
Malaysia,Han Chiang High School,11600
Malaysia,Tunku Putra School,93050
Malaysia,INTI ,dont know
Malaysia,St.Johns International,-
Malaysia,Sri Sempurna International School,56100
Malaysia,SMK TUN HABAB,81900
Malaysia,Help International School,47100
Malaysia,SMK Bintulu,97000
Malaysia,SMJK Hua Lian,34000
Malaysia,Bandar Utama Damansara 4,47800
Malaysia,SMK Kota Kemuning,40460
Malaysia,SMK Kota Kemuning,40460
Malaysia,SMK Bandar Puchong Jaya (B),47100
Malaysia,SMK Bandar Sri Damansara 1,52200
Malaysia,SMK Bandar Sri Damansara 1,47830
Malaysia,Kota Kinabalu high school,88819
Malaysia,SMK Tinggi St David ,75150
Malaysia,SMK Chung Hua (CF) Miri,98000
Malaysia,SMK MUADZAM SHAH,26700
Malaysia,SMK Pusat Bandar Puchong (1),47100
Malaysia,SMK USJ 13,47630
Malaysia,SMK USJ 13,47630
Malaysia,St joseph's private school,93250
Malaysia,SMJK Chung Ling,11400
Malaysia,SMJK Sin Min,8000
Malaysia,SMK Chung Hua,96000
Malaysia,Seri Omega Private and International School,81100
Malaysia,SMJK SAM TETM,30300
Malaysia,SMJK Pei Yuan ,31900
Malaysia,Methodist Boys' Secondary School Kuala Lumpur,50150
Malaysia,Kuen Cheng High School,50460
Malaysia,penang free school,11600
Malaysia,SMJK Katholik PJ,46000
Malaysia,SMJK Yu Hua Kajang,43000
Malaysia,SMJK HUA LIAN,34000
Malaysia,SMJK Hua Lian,34000
Malaysia,SMJK YU HUA,43000
Malaysia,SMK Infant Jesus Convent ,75000
Malaysia,Sekolah Sri Bestari,52100
Malaysia,SMK Taman Setiawangsa,54200
Malaysia,SMK Damansara Utama,47400
Malaysia,SMK (P) Sri Aman,46100
Malaysia,SMK Tengku Ampuan Rahimah ,41200
Malaysia,SMK Convent (M) Kajang,43000
Malaysia,Chung Hua High School ,70200
Malaysia,Sekolah Menengah Kebangsaan Ibrahim,8000
Malaysia,Sekolah Menengah Stella Maris,50100
Malaysia,Smk pandan mewah ,55100
Malaysia,SMK Puteri Wangsa,81800
Malaysia,SMK Kepong Baru,52100
Malaysia,Sri Sempurna,56100
Malaysia,SMJK YU HUA,43000
Malaysia,SMK Seri Bintang Seletan,56100
Malaysia,SMK Seri Bintang Selatan,56100
Malaysia,SMK Convent (M) Kajang,43000
Malaysia,SMK BUKIT MEWAH,70100
Malaysia,Arrows Resource Center,47301
Malaysia,Sekolah Menengah Seri Omega,81400
Malaysia,SMK Gajah Berang,75200
Malaysia,SMK Gajah Berang,75200
Malaysia,SMJK Jit Sin,14100
Malaysia,SMJK Jit Sin,14000
Malaysia,SMK Tengku Ampuan Rahimah,-
Malaysia,SMJK SAM TET,I don?€?t know it
Malaysia,SMK Jinjang,52000
Malaysia,SMK Bandar Utama Damansara 3,-
Malaysia,Sri Emas International School,I don't know
Malaysia,SMK Taman Connaught ,56000
Malaysia,Sekolah Menengah Stella Maris ,-
Malaysia,SMK Gajah Berang,75200
Malaysia,Catholic High School,46000
Malaysia,Catholic High School ,46000
Malaysia,SMK Seri Bintang Utara,56100
Malaysia,Smk tun haji abdul malek,75250
Malaysia,SMJK YU HUA,43000
Malaysia,SMK Seri Mutiara ,56000
Malaysia,Smk Green Road,93150
Malaysia,Campus Rangers ,58200
Malaysia,Sri Emas International School,47300
Malaysia,SMK JALAN EMPAT ,43650
Malaysia,SMJK Yu Hua ,43000
Malaysia,Smk Bukit Bahru ,75450
Malaysia,SMK Lutong,98000
Malaysia,University of Nottingham,43500
Malaysia,SMK Taman Putri Kulai,81000
Malaysia,Tsun Jin High School,55200
Malaysia,Jit Sin,14000
Malaysia,SMK BANDAR BARU SUNGAI LONG,43000
Malaysia,SMJK Phor Tay,11700
Malaysia,,
Malaysia,Sekolah Sains Sultan Haji Ahmad Shah,26600
Malaysia,"Sekolah Sains Sultan Haji Ahmad Shah, Pekan",26600
Malaysia,SMJK YU HUA,43000
Malaysia,SMK Taman Connaught,56000
Malaysia,SMK  CBN,57500
